model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,Make_BMW,Make_Ford,Make_Hyundai,Make_audi,Make_skoda,Make_toyota,Make_vw
8,2017.0,12500.0,15735.0,150.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,16500.0,36203.0,20.0,64.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2016.0,11000.0,29946.0,30.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,16800.0,25952.0,145.0,67.3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2019.0,17300.0,1998.0,145.0,49.6,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2016.0,13900.0,32260.0,30.0,58.9,1.4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,13250.0,76788.0,30.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2015.0,10200.0,46112.0,20.0,60.1,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2017.0,16100.0,28955.0,145.0,58.9,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2016.0,17000.0,44915.0,145.0,52.3,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2017.0,16400.0,21695.0,30.0,58.9,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2014.0,13900.0,30516.0,30.0,56.5,1.4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2017.0,17300.0,37100.0,145.0,67.3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2016.0,20200.0,23714.0,200.0,47.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,22500.0,21649.0,145.0,58.9,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2015.0,17500.0,62748.0,150.0,53.3,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2016.0,20000.0,23789.0,200.0,47.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,19500.0,33300.0,145.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2018.0,15800.0,10793.0,145.0,56.5,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2018.0,17200.0,25138.0,145.0,70.6,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2015.0,14000.0,61176.0,30.0,62.8,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2014.0,15000.0,39190.0,205.0,47.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,16000.0,47482.0,150.0,47.9,1.4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,10800.0,31447.0,145.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,19400.0,34030.0,125.0,58.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,16000.0,29063.0,145.0,70.6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,20300.0,42908.0,145.0,51.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2019.0,15700.0,2029.0,145.0,49.6,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2018.0,16600.0,22958.0,145.0,50.4,1.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,14400.0,32097.0,145.0,72.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,20200.0,13057.0,145.0,53.3,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2016.0,12750.0,52561.0,0.0,74.3,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2015.0,15000.0,56291.0,200.0,42.8,1.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,16000.0,47767.0,20.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2016.0,18500.0,34110.0,30.0,61.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2013.0,7000.0,76269.0,0.0,74.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2016.0,10600.0,37840.0,20.0,70.6,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2017.0,16000.0,26249.0,30.0,67.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,15000.0,44898.0,125.0,57.7,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,14000.0,67161.0,150.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2016.0,10200.0,97440.0,20.0,70.6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,11700.0,19268.0,150.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2013.0,11500.0,51441.0,125.0,50.4,1.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2016.0,12500.0,19494.0,30.0,67.3,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2016.0,16600.0,32808.0,30.0,61.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2016.0,8300.0,88215.0,20.0,68.9,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2019.0,16000.0,5704.0,145.0,49.6,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87,2016.0,19600.0,30201.0,200.0,47.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2017.0,21800.0,19319.0,145.0,40.4,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2017.0,16200.0,22582.0,145.0,61.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,18700.0,20052.0,145.0,49.6,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
